Test ID,GWD (m),Elevation,L (km),L_new (km),Slope (%),PGA (g),Target
43247,1.62486529350281,0.0,2.17123414970692,1.16772246321806,0.0,0.40709513425827,False
10138,2.01180553436279,3.38588285446167,0.578797680287476,0.432978705792699,0.433496087789536,0.470163553953171,True
26048,1.84372138977051,4.1842851638794,1.03171987353021,0.772676391066725,0.321009755134583,0.453595846891403,True
42753,1.54560708999634,0.0,2.20263763560657,1.17480931996533,0.0,0.40709513425827,False
29367,1.98353028297424,3.76082158088684,0.816363383825898,0.6064585254036,0.25798773765564,0.463575810194016,True
26049,1.49336338043213,0.0,2.25518113322214,1.18660775844856,0.0,0.40709513425827,False
48749,1.9502763748169,3.15302085876465,0.514910695041429,0.387353487650257,0.605108022689819,0.473471164703369,False
2194,1.79907560348511,3.96341824531555,0.985354214382858,0.781410196775538,0.949109792709351,0.456954181194305,True
12189,2.42247629165649,4.12514352798462,1.76223569212986,1.04426476934032,0.95642364025116,0.416672378778458,True
30304,1.99589812755585,2.9007351398468,0.388808844681886,0.297033830281535,0.408195585012436,0.476793825626373,True
3944,1.99016976356506,4.5481276512146,1.04619148553149,0.767170210457743,0.53935182094574,0.446764230728149,True
42899,1.97785258293152,0.0,2.02493560500993,1.14817703680448,0.0,0.410266429185867,False
2765,1.79595065116882,4.08655834197998,1.0011974089537,0.780792629733817,0.770290434360504,0.453595846891403,True
33237,1.83828282356262,0.0,2.10350056046099,1.15896354333857,0.0,0.410266429185867,False
26050,2.06683826446533,4.29254055023193,1.05299113413562,0.773894492972332,0.915915131568909,0.450196385383606,True
3683,1.9502763748169,3.26488256454468,0.526112033174029,0.395232457929497,0.624668955802917,0.473471164703369,False
26051,2.23718595504761,4.88491535186768,1.08035023683843,0.79310879494559,1.08922791481018,0.443318545818329,True
50042,2.12651324272156,3.07221746444702,0.325654405910073,0.251144126434522,0.288890719413757,0.476793825626373,True
4498,1.74278295040131,3.32487344741821,0.699602501818389,0.524378070882292,0.677843809127808,0.466867506504059,True
4335,2.11481857299805,3.06596660614014,0.421238905148376,0.320738661834895,2.29934644699097,0.473471164703369,True
39015,2.56116509437561,4.94150066375732,1.12021054726663,0.822545337279492,1.45038425922394,0.439880639314651,False
5403,1.9502763748169,3.29476261138916,0.512881745417092,0.386340887108724,0.559402585029602,0.473471164703369,False
911,2.6911563873291,4.1864857673645,1.68947791244162,1.01106202934282,0.59712678194046,0.419907093048096,True
30773,2.83948087692261,4.47800731658936,1.39580485004072,0.897164787524785,0.755798518657684,0.426441490650177,True
43731,2.29147434234619,3.95465922355652,1.8088355010749,1.07064897439854,0.613933563232422,0.416672378778458,True
4333,1.74278295040131,3.43239307403564,0.690679429679019,0.517366173727056,0.647297561168671,0.466867506504059,True
17240,2.91765165328979,4.43810272216797,1.38119393710302,0.893727169055569,1.04818177223206,0.42974928021431,True
4493,1.86599063873291,3.61793231964111,0.791627833885219,0.590708289519723,0.755443155765533,0.463575810194016,True
10583,1.77928352355957,3.45165729522705,0.744651957720536,0.557954595476277,0.395014584064484,0.466867506504059,True
32896,1.82176768779755,3.01099634170532,0.465251811601333,0.353037095092183,1.31743788719177,0.473471164703369,False
50040,1.85081100463867,2.47831344604492,0.285050250307295,0.221715289452307,0.70656406879425,0.480128675699234,True
24056,2.02492523193359,2.91236019134521,0.258524334721263,0.202725167342641,1.35678172111511,0.480128675699234,True
34735,1.87242412567139,4.42521333694458,1.05562332989451,0.773791607695947,0.893320739269257,0.446764230728149,True
39568,2.66687083244324,5.89114332199097,1.10644334719679,0.812327887639014,1.43336188793182,0.439880639314651,True
32266,1.88831329345703,0.0,2.38844552753912,1.22938093052158,0.0,0.403945982456207,False
3907,2.03721904754639,3.51189684867859,0.571684007489808,0.426773847970561,0.743557572364807,0.470163553953171,True
26054,2.57730412483215,4.19859457015991,1.72833692061401,1.03146226231355,0.609698116779327,0.419907093048096,True
7436,1.79934895038605,3.6060791015625,0.779889075625368,0.58281949138972,0.506735384464264,0.463575810194016,True
49254,2.42247629165649,4.29681587219238,1.7727846051432,1.0536514908663,0.95642364025116,0.416672378778458,True
44681,1.93840551376343,0.0,2.37111003663616,1.22468573059501,0.0,0.403945982456207,False
8639,2.66974973678589,4.31624174118042,1.47159239242735,0.923136542721928,1.00650453567505,0.426441490650177,True
